                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4634 |    7617168 |    7616271 |    7616897 |    7616176 |    7616180 |    7616180 |    7616176 |    7616148 |    7616146 |    7616521 |    7616144 |    7616148 |    7616150 |    7616596 |   15232001
    num cache misses                 |        133 |        419 |        418 |        425 |        414 |        416 |        416 |        414 |        416 |        416 |        421 |        415 |        422 |        422 |        421 |        449
    miss rate                        |      2.87% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00%
    mpki                             |       3.96 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16060 |   20480998 |   20477406 |   20479874 |   20477044 |   20477046 |   20477046 |   20477044 |   20476937 |   20476932 |   20478424 |   20476928 |   20476930 |   20476935 |   20478746 |   40965676
    num cache misses                 |        558 |     224384 |     227384 |     226741 |     225097 |     227209 |     227169 |     225372 |     225646 |     226392 |     225814 |     225083 |     227641 |     226837 |     225386 |     446415
    miss rate                        |      3.47% |      1.10% |      1.11% |      1.11% |      1.10% |      1.11% |      1.11% |      1.10% |      1.10% |      1.11% |      1.10% |      1.10% |      1.11% |      1.11% |      1.10% |      1.09%
    mpki                             |      16.63 |       3.98 |       4.04 |       4.03 |       4.00 |       4.03 |       4.03 |       4.00 |       4.01 |       4.02 |       4.01 |       4.00 |       4.04 |       4.03 |       4.00 |       3.96
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        704 |     226160 |     229059 |     228450 |     226722 |     228845 |     228921 |     226960 |     227281 |     228049 |     227432 |     226739 |     229267 |     228479 |     226953 |     448079
    num cache misses                 |        505 |       5993 |       5888 |       5970 |       5877 |       5886 |       5872 |       5882 |       5868 |       5861 |       5912 |       5876 |       5863 |       5871 |       5922 |       6220
    miss rate                        |     71.73% |      2.65% |      2.57% |      2.61% |      2.59% |      2.57% |      2.57% |      2.59% |      2.58% |      2.57% |      2.60% |      2.59% |      2.56% |      2.57% |      2.61% |      1.39%
    mpki                             |      15.05 |       0.11 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.11 |       0.06
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        518 |       7745 |       7671 |       7507 |       7822 |       8040 |       7899 |       7738 |       7791 |       7779 |       7440 |       7763 |       7708 |       7971 |       7482 |       8282
    num cache misses                 |        461 |       5993 |       5888 |       5970 |       5877 |       5886 |       5872 |       5882 |       5868 |       5861 |       5912 |       5876 |       5863 |       5871 |       5922 |       6220
    miss rate                        |     89.00% |     77.38% |     76.76% |     79.53% |     75.13% |     73.21% |     74.34% |     76.01% |     75.32% |     75.34% |     79.46% |     75.69% |     76.06% |     73.65% |     79.15% |     75.10%
    mpki                             |      13.74 |       0.11 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.11 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      19048 |      15731 |       5269 |       5325 |       5037 |       5297 |      11718 |      11673 |       1358 |       5819 |       5508 |       6518 |      16159 |      17903 |      14708 |       6433
  average dram access latency (ns)   |      54.03 |      54.42 |      55.09 |      56.57 |      55.49 |      56.47 |      55.11 |      54.49 |      60.47 |      57.04 |      55.78 |      55.21 |      54.21 |      55.03 |      55.24 |      55.21
  average dram queueing delay        |       0.60 |       0.99 |       1.66 |       3.14 |       2.06 |       3.05 |       1.68 |       1.06 |       7.04 |       3.61 |       2.35 |       1.78 |       0.78 |       1.60 |       1.81 |       1.78
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |         33 |       2157 |       2587 |       2169 |       2705 |       2851 |       2712 |       2661 |       2655 |       2629 |       2363 |       2732 |       2612 |       2767 |       2377 |       2797
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         37 |        431 |         26 |        223 |         22 |         27 |         26 |         23 |         21 |         29 |         25 |         20 |         27 |         20 |         34 |         39
