                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      33556 |   56320512 |   56312150 |   56318014 |   56311341 |   56311353 |   56311354 |   56311342 |   56311074 |   56311061 |   56314593 |   56311044 |   56311055 |   56311068 |   56315295 |  112619124
  Cycles                             |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409 |   74135409
  IPC                                |       0.00 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       0.76 |       1.52
  Time (ns)                          |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455 |   27870455
  Idle time (ns)                     |   27852580 |   13895059 |   13878603 |   13895493 |   13870322 |   13865126 |   13877224 |   13865150 |   13876867 |   13880472 |   13896221 |   13866328 |   13882217 |   13871970 |   13896354 |      46587
  Idle time (%)                      |      99.9% |      49.9% |      49.8% |      49.9% |      49.8% |      49.7% |      49.8% |      49.7% |      49.8% |      49.8% |      49.9% |      49.8% |      49.8% |      49.8% |      49.9% |       0.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       4827 |    5518005 |    5516489 |    5517568 |    5516388 |    5516387 |    5516387 |    5516388 |    5516329 |    5516328 |    5516883 |    5516326 |    5516478 |    5516479 |    5517127 |   11034101
  num incorrect                      |        387 |     226772 |     226844 |     226789 |     226814 |     226816 |     226816 |     226814 |     226819 |     226817 |     226881 |     226816 |     226665 |     226667 |     226753 |     451653
  misprediction rate                 |      7.42% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.95% |      3.93%
  mpki                               |      11.53 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.03 |       4.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4634 |    7617168 |    7616271 |    7616897 |    7616176 |    7616180 |    7616180 |    7616176 |    7616148 |    7616146 |    7616521 |    7616144 |    7616148 |    7616150 |    7616596 |   15232001
    num misses                       |          5 |         39 |         39 |         41 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39
    miss rate                        |      0.11% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15808 |   20466559 |   20462974 |   20465437 |   20462614 |   20462616 |   20462616 |   20462614 |   20462506 |   20462502 |   20463991 |   20462498 |   20462500 |   20462504 |   20464312 |   40936826
    num misses                       |         92 |        103 |         69 |        100 |         64 |         66 |         65 |         68 |         69 |         68 |         86 |         68 |         71 |         70 |         90 |       1076
    miss rate                        |      0.58% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.74 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         97 |        142 |        108 |        141 |        103 |        105 |        104 |        107 |        108 |        107 |        125 |        107 |        110 |        109 |        129 |       1115
    num misses                       |         35 |        115 |        107 |        116 |        102 |        103 |        103 |        103 |        105 |        105 |        109 |        105 |        104 |        104 |        111 |        110
    miss rate                        |     36.08% |     80.99% |     99.07% |     82.27% |     99.03% |     98.10% |     99.04% |     96.26% |     97.22% |     98.13% |     87.20% |     98.13% |     94.55% |     95.41% |     86.05% |      9.87%
    mpki                             |       1.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
