                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |      1.51% |      4.32% |      4.33% |      4.39% |      4.35% |      4.38% |      4.35% |      4.36% |      4.37% |      4.36% |      4.36% |      4.30% |      4.36% |      4.34% |      4.38% |       inf%
    mpki                             |       4.35 |      10.67 |      10.69 |      10.83 |      10.74 |      10.79 |      10.74 |      10.76 |      10.78 |      10.75 |      10.76 |      10.64 |      10.76 |      10.72 |      10.79 |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     356882 |     602625 |     605210 |     604673 |     604377 |     604165 |     597688 |     607206 |     604876 |     594547 |     608513 |     581558 |     596643 |     599417 |     602279 |          0
    num cache misses                 |     318445 |      42401 |      40770 |      40969 |      40935 |      40579 |      46582 |      43071 |      40606 |      45344 |      40528 |      42430 |      41377 |      41353 |      43136 |          0
    miss rate                        |     89.23% |      7.04% |      6.74% |      6.78% |      6.77% |      6.72% |      7.79% |      7.09% |      6.71% |      7.63% |      6.66% |      7.30% |      6.93% |      6.90% |      7.16% |       inf%
    mpki                             |       4.17 |       0.88 |       0.84 |       0.85 |       0.84 |       0.84 |       0.97 |       0.89 |       0.84 |       0.95 |       0.83 |       0.91 |       0.87 |       0.86 |       0.89 |        inf
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     337947 |      45258 |      42874 |      42952 |      43650 |      43027 |      48751 |      45282 |      42541 |      47867 |      42874 |      44862 |      43295 |      44032 |      45527 |          0
    num cache misses                 |      60658 |       7533 |       7460 |       7508 |       7200 |       7106 |       7628 |       7904 |       7440 |       7196 |       7139 |       8309 |       7489 |       7354 |       6774 |          0
    miss rate                        |     17.95% |     16.64% |     17.40% |     17.48% |     16.49% |     16.52% |     15.65% |     17.46% |     17.49% |     15.03% |     16.65% |     18.52% |     17.30% |     16.70% |     14.88% |       inf%
    mpki                             |       0.79 |       0.16 |       0.15 |       0.16 |       0.15 |       0.15 |       0.16 |       0.16 |       0.15 |       0.15 |       0.15 |       0.18 |       0.16 |       0.15 |       0.14 |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       5681 |       6086 |       5401 |       5398 |       5283 |       5476 |       5363 |       5380 |       5354 |       5472 |       5336 |       5295 |       5356 |       5361 |       7823 |       5714
  average dram access latency (ns)   |      55.80 |      56.79 |      53.60 |      53.58 |      53.50 |      55.57 |      53.53 |      53.58 |      53.53 |      53.56 |      53.54 |      53.49 |      53.54 |      53.53 |      53.88 |      53.52
  average dram queueing delay        |       2.38 |       3.36 |       0.18 |       0.15 |       0.07 |       2.14 |       0.10 |       0.16 |       0.10 |       0.13 |       0.11 |       0.06 |       0.11 |       0.10 |       0.45 |       0.09
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      37460 |       1009 |       1162 |       1076 |       1027 |       1056 |       1028 |       1085 |       1018 |       1001 |       1007 |       1070 |       1083 |       1111 |       1070 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1319 |       4018 |       3940 |       3769 |       3639 |       3424 |       4012 |       4311 |       3830 |       3491 |       3408 |       4511 |       3759 |       3556 |       3225 |          0
