                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num misses                       |        131 |      11933 |         39 |         35 |         32 |         39 |         35 |         32 |         31 |         31 |         31 |         31 |         33 |         31 |         24 |          0
    miss rate                        |      1.22% |      0.15% |      4.42% |      6.31% |      5.77% |      4.42% |      6.07% |      5.77% |      5.93% |      5.93% |      5.93% |      5.94% |      6.32% |      5.94% |      5.42% |      0.00%
    mpki                             |       5.73 |       0.77 |      19.47 |      29.44 |      26.91 |      19.47 |      28.02 |      26.91 |      29.05 |      29.05 |      29.05 |      29.14 |      31.02 |      29.14 |      25.18 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        140 |      12132 |         59 |         54 |         51 |         59 |         54 |         51 |         49 |         49 |         49 |         49 |         51 |         49 |         43 |          0
    num misses                       |         41 |       1493 |         54 |         51 |         51 |         54 |         51 |         51 |         49 |         49 |         49 |         49 |         49 |         49 |         42 |          0
    miss rate                        |     29.29% |     12.31% |     91.53% |     94.44% |    100.00% |     91.53% |     94.44% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     96.08% |    100.00% |     97.67% |      0.00%
    mpki                             |       1.79 |       0.10 |      26.96 |      42.89 |      42.89 |      26.96 |      40.83 |      42.89 |      45.92 |      45.92 |      45.92 |      46.05 |      46.05 |      46.05 |      44.07 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2506 |    1851890 |        210 |        146 |        146 |        210 |        156 |        146 |        138 |        138 |        138 |        138 |        138 |        138 |        100 |          0
    num cache misses                 |         94 |      10913 |         75 |         76 |         76 |         75 |         80 |         76 |         71 |         71 |         71 |         71 |         71 |         71 |         69 |          0
    miss rate                        |      3.75% |      0.59% |     35.71% |     52.05% |     52.05% |     35.71% |     51.28% |     52.05% |     51.45% |     51.45% |     51.45% |     51.45% |     51.45% |     51.45% |     69.00% |       inf%
    mpki                             |       4.11 |       0.70 |      37.44 |      63.92 |      63.92 |      37.44 |      64.05 |      63.92 |      66.54 |      66.54 |      66.54 |      66.73 |      66.73 |      66.73 |      72.40 |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10889 |    8039556 |        890 |        564 |        564 |        890 |        590 |        564 |        530 |        530 |        530 |        529 |        529 |        529 |        450 |          0
    num cache misses                 |        357 |     459690 |        125 |        100 |         99 |        126 |        104 |        100 |         98 |         98 |         98 |         98 |         98 |         98 |         82 |          0
    miss rate                        |      3.28% |      5.72% |     14.04% |     17.73% |     17.55% |     14.16% |     17.63% |     17.73% |     18.49% |     18.49% |     18.49% |     18.53% |     18.53% |     18.53% |     18.22% |       inf%
    mpki                             |      15.62 |      29.58 |      62.41 |      84.10 |      83.26 |      62.91 |      83.27 |      84.10 |      91.85 |      91.85 |      91.85 |      92.11 |      92.11 |      92.11 |      86.04 |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        453 |     492216 |        207 |        182 |        182 |        207 |        190 |        182 |        174 |        174 |        174 |        174 |        174 |        174 |        157 |          0
    num cache misses                 |        418 |      69978 |        200 |        176 |        175 |        201 |        184 |        176 |        169 |        169 |        169 |        169 |        169 |        169 |        151 |          0
    miss rate                        |     92.27% |     14.22% |     96.62% |     96.70% |     96.15% |     97.10% |     96.84% |     96.70% |     97.13% |     97.13% |     97.13% |     97.13% |     97.13% |     97.13% |     96.18% |       inf%
    mpki                             |      18.29 |       4.50 |      99.85 |     148.02 |     147.18 |     100.35 |     147.32 |     148.02 |     158.39 |     158.39 |     158.39 |     158.83 |     158.83 |     158.83 |     158.45 |        inf
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        420 |      92176 |        207 |        182 |        182 |        207 |        190 |        182 |        174 |        174 |        174 |        174 |        174 |        174 |        157 |          0
    num cache misses                 |        325 |      53459 |        200 |        176 |        175 |        201 |        184 |        176 |        169 |        169 |        169 |        169 |        169 |        169 |        151 |          0
    miss rate                        |     77.38% |     58.00% |     96.62% |     96.70% |     96.15% |     97.10% |     96.84% |     96.70% |     97.13% |     97.13% |     97.13% |     97.13% |     97.13% |     97.13% |     96.18% |       inf%
    mpki                             |      14.22 |       3.44 |      99.85 |     148.02 |     147.18 |     100.35 |     147.32 |     148.02 |     158.39 |     158.39 |     158.39 |     158.83 |     158.83 |     158.83 |     158.45 |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       3439 |       3398 |       3389 |       3434 |       3445 |       3414 |       3361 |       3373 |       3412 |       3396 |       3361 |       3412 |       3395 |       3341 |       3370 |       3325
  average dram access latency (ns)   |      53.77 |      53.76 |      53.68 |      54.04 |      53.90 |      53.75 |      53.62 |      53.66 |      53.77 |      53.69 |      53.58 |      53.72 |      53.84 |      53.61 |      53.66 |      53.59
  average dram queueing delay        |       0.35 |       0.33 |       0.25 |       0.61 |       0.47 |       0.32 |       0.19 |       0.23 |       0.34 |       0.26 |       0.15 |       0.30 |       0.41 |       0.18 |       0.23 |       0.16
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |         31 |      26017 |         92 |         70 |         70 |         94 |         71 |         71 |         66 |         72 |         71 |         72 |         74 |         73 |         36 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          2 |       1017 |         12 |          8 |          8 |          9 |         10 |          8 |         13 |          7 |          8 |          8 |          6 |          7 |         26 |          0
