                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      22859 |   15541877 |       2003 |       1189 |       1189 |       2003 |       1249 |       1189 |       1067 |       1067 |       1067 |       1064 |       1064 |       1064 |        953 |          0
  Cycles                             |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820 |   11169820
  IPC                                |       0.00 |       1.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181 |    4199181
  Idle time (ns)                     |    4189192 |      31192 |    4194302 |    4195458 |    4195484 |    4194517 |    4195262 |    4195397 |    4195613 |    4195489 |    4195510 |    4195454 |    4195404 |    4195311 |    4197073 |    4199181
  Idle time (%)                      |      99.8% |       0.7% |      99.9% |      99.9% |      99.9% |      99.9% |      99.9% |      99.9% |      99.9% |      99.9% |      99.9% |      99.9% |      99.9% |      99.9% |      99.9% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       2868 |    2381409 |        287 |        161 |        161 |        287 |        171 |        161 |        143 |        143 |        143 |        143 |        143 |        143 |        136 |          0
  num incorrect                      |        209 |     115031 |         60 |         49 |         49 |         60 |         52 |         49 |         45 |         45 |         45 |         45 |         45 |         45 |         32 |          0
  misprediction rate                 |      6.79% |      4.61% |     17.29% |     23.33% |     23.33% |     17.29% |     23.32% |     23.33% |     23.94% |     23.94% |     23.94% |     23.94% |     23.94% |     23.94% |     19.05% |      0.00%
  mpki                               |       9.14 |       7.40 |      29.96 |      41.21 |      41.21 |      29.96 |      41.63 |      41.21 |      42.17 |      42.17 |      42.17 |      42.29 |      42.29 |      42.29 |      33.58 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2506 |    1851890 |        210 |        146 |        146 |        210 |        156 |        146 |        138 |        138 |        138 |        138 |        138 |        138 |        100 |          0
    num misses                       |          9 |        199 |         20 |         19 |         19 |         20 |         19 |         19 |         18 |         18 |         18 |         18 |         18 |         18 |         19 |          0
    miss rate                        |      0.36% |      0.01% |      9.52% |     13.01% |     13.01% |      9.52% |     12.18% |     13.01% |     13.04% |     13.04% |     13.04% |     13.04% |     13.04% |     13.04% |     19.00% |      0.00%
    mpki                             |       0.39 |       0.01 |       9.99 |      15.98 |      15.98 |       9.99 |      15.21 |      15.98 |      16.87 |      16.87 |      16.87 |      16.92 |      16.92 |      16.92 |      19.94 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      10740 |    7982086 |        882 |        555 |        555 |        882 |        577 |        555 |        523 |        523 |        523 |        522 |        522 |        522 |        443 |          0
